Avg_MHz	Busy%	PkgTmp	PkgWatt
847	35.31	59	12.40
1005	41.84	60	14.21
650	27.09	57	10.17
381	15.85	52	7.12
383	15.97	52	7.07
595	24.77	52	9.67
653	27.19	53	10.33
687	28.62	54	10.47
666	27.76	53	10.35
665	27.69	54	10.38
665	27.72	53	10.43
665	27.78	54	10.36
680	28.27	54	10.58
654	27.25	54	10.28
371	15.45	52	7.00
522	21.79	53	8.71
775	32.26	54	11.07
576	23.98	54	9.37
654	27.26	53	10.30
685	28.53	54	10.54
655	27.27	53	10.31
533	22.31	55	8.77
720	29.88	54	10.86
659	27.49	54	10.23
644	26.90	53	10.17
575	23.86	53	9.34
515	21.47	52	8.65
617	25.73	53	9.82
637	26.56	53	10.06
651	27.15	53	10.28
662	27.71	55	10.30
704	29.19	54	10.82
662	27.60	53	10.42
643	26.82	53	10.19
646	26.99	53	10.17
647	26.84	54	10.22
645	26.89	54	10.24
643	26.80	54	10.20
627	26.08	54	10.00
641	26.71	53	10.10
623	25.95	53	9.94
631	26.30	54	10.05
624	26.01	54	9.99
661	27.55	55	10.45
655	27.32	54	10.37
644	26.80	54	10.17
633	26.38	54	10.15
640	26.75	54	10.08
628	26.07	54	10.10
640	26.65	54	10.18
709	29.57	54	10.49
677	28.35	55	10.34
670	27.75	56	10.51
663	27.63	55	10.37
665	27.69	55	10.41
710	29.59	56	10.82
658	27.39	55	10.23
644	26.85	55	10.15
660	27.49	55	10.34
685	28.54	55	10.59
660	27.63	55	10.26
641	26.60	55	10.16
627	26.14	55	10.01
654	27.24	55	10.27
646	26.93	55	10.10
639	26.70	55	10.08
670	27.80	55	10.49
647	26.95	55	10.21
649	27.02	55	10.24
645	26.89	55	10.26
641	26.69	55	10.15
645	26.87	55	10.22
660	27.49	56	10.33
640	26.65	55	10.19
662	27.57	55	10.37
650	27.09	55	10.26
641	26.73	55	10.15
641	26.72	55	10.16
639	26.63	55	10.15
646	26.91	55	10.21
638	26.60	56	10.11
649	27.04	55	10.28
697	29.02	56	10.45
672	28.00	55	10.50
650	27.10	55	10.30
890	37.18	56	12.37
835	34.70	56	12.00
656	27.31	56	10.39
663	27.63	55	10.35
636	26.52	55	10.07
657	27.37	55	10.34
672	27.99	56	10.56
655	27.28	55	10.34
648	27.00	55	10.21
642	26.77	55	10.16
632	26.32	55	10.05
655	27.27	54	10.28
635	26.48	54	10.03
636	26.49	55	10.02
636	26.51	53	10.08
624	26.00	54	9.86
639	26.65	52	9.77
661	27.50	54	9.88
654	27.23	53	9.89
635	26.44	54	9.79
648	26.99	54	10.00
642	26.77	54	9.73
681	28.41	54	10.22
635	26.42	52	9.58
639	26.62	54	9.77
566	23.63	51	8.99
584	24.29	52	9.02
608	25.34	52	9.23
634	26.43	53	9.72
634	26.40	52	9.77
661	27.55	53	9.78
650	27.10	53	9.74
636	26.49	53	9.67
618	25.76	53	9.74
638	26.61	52	9.80
885	36.92	54	12.33
978	40.73	54	13.66
661	27.56	53	9.95
658	27.43	53	9.81
649	27.05	52	9.78
632	26.34	53	9.72
616	25.69	53	9.71
639	26.59	53	9.82
622	25.93	52	9.64
717	29.86	54	10.41
655	27.32	52	9.80
648	26.97	53	9.82
634	26.45	52	9.81
655	27.30	52	10.19
656	27.31	52	10.25
663	27.65	53	10.33
742	30.92	52	10.87
628	26.18	52	9.98
644	26.85	52	10.19
653	27.25	52	10.29
667	27.76	53	10.30
660	27.48	53	10.25
697	29.03	52	10.66
652	27.16	52	10.29
658	27.40	52	10.32
515	21.46	49	8.62
483	20.11	49	8.13
490	21.30	51	8.22
592	24.66	52	9.50
535	22.31	52	8.83
646	26.90	52	10.10
683	28.41	52	10.54
661	27.53	52	10.35
631	26.28	52	10.00
652	27.16	52	10.26
658	27.40	52	10.30
666	27.75	52	10.39
629	26.23	52	9.95
632	26.32	52	9.98
657	27.39	52	10.30
658	27.44	52	10.25
629	26.20	52	9.98
637	26.56	52	10.00
661	27.53	52	10.32
650	27.10	52	10.21
627	26.11	52	9.93
640	26.65	52	10.09
650	27.10	52	10.26
655	27.27	52	10.28
650	27.07	52	10.23
669	27.87	52	10.44
680	28.32	52	10.62
657	27.37	52	10.31
629	26.22	52	9.99
632	26.34	52	10.06
645	26.87	52	10.21
692	28.82	52	10.62
648	26.98	52	10.22
642	26.74	52	10.11
669	27.90	52	10.42
648	26.97	52	10.21
637	26.57	52	10.10
635	26.42	52	10.04
650	27.08	52	10.19
684	28.54	56	10.54
641	26.66	56	10.12
682	28.40	57	10.54
653	27.22	57	10.27
638	26.59	57	10.11
636	26.49	56	10.18
632	26.33	56	10.03
627	26.12	57	10.01
640	26.68	56	10.09
630	26.24	57	10.06
660	27.49	57	10.24
644	26.82	57	10.18
656	27.32	57	10.36
631	26.28	56	10.02
626	26.08	57	9.99
625	26.04	57	10.03
649	27.05	57	10.34
626	26.08	56	9.99
640	26.65	56	10.12
647	26.98	56	10.20
641	26.69	56	10.16
620	25.85	56	9.95
643	26.78	56	10.12
643	26.80	56	10.24
666	27.75	56	10.39
625	26.03	55	9.98
638	26.60	56	10.12
656	27.34	56	10.33
659	27.45	56	10.43
631	26.29	56	10.12
628	26.15	56	10.02
