Avg_MHz	Busy%	PkgTmp	PkgWatt
1007	42.06	53	13.23
1641	68.25	56	17.05
1127	47.00	50	13.86
672	27.96	49	9.93
649	27.04	50	9.90
850	35.42	50	11.79
887	36.94	50	12.23
657	27.39	49	9.68
611	25.44	49	9.06
639	26.66	49	9.44
598	24.89	47	9.01
489	20.40	47	7.91
495	26.52	47	7.44
534	22.22	45	8.62
625	26.03	47	9.75
542	22.60	46	8.67
600	25.14	47	9.25
730	30.28	51	10.92
719	29.93	51	10.88
741	30.87	50	11.10
663	27.61	50	10.24
663	27.62	50	10.26
668	27.85	50	10.31
669	27.89	50	10.37
633	26.39	51	9.94
639	26.61	50	9.94
633	26.39	50	9.92
633	26.37	50	9.86
636	26.51	51	9.95
625	26.04	50	9.76
649	27.03	50	10.13
647	26.98	50	10.08
585	24.39	48	9.33
557	23.22	45	9.08
557	23.25	48	9.04
642	26.71	50	10.11
666	27.77	50	10.37
667	27.77	50	10.36
665	27.70	50	10.31
803	33.44	50	11.62
859	35.81	52	12.32
707	29.48	48	9.97
637	26.52	48	9.26
657	27.42	49	9.45
693	28.83	49	9.96
657	27.36	49	9.48
637	26.52	49	9.64
625	26.05	49	9.67
634	26.42	49	9.46
609	25.41	50	9.66
652	27.11	52	10.12
646	26.92	52	10.05
638	26.57	51	9.89
633	26.54	52	9.80
643	26.61	52	10.10
756	31.51	52	10.84
655	27.30	52	10.23
661	27.57	52	10.32
660	27.44	52	10.26
653	27.19	52	10.15
663	27.65	51	10.13
702	29.25	52	10.65
689	28.74	52	10.38
654	27.23	51	10.07
649	27.06	51	9.92
640	26.68	52	9.83
665	27.70	52	10.09
661	27.53	52	10.25
656	27.34	51	10.16
655	27.29	52	10.16
682	28.42	52	10.44
658	27.43	52	10.14
658	27.41	52	10.10
655	27.31	51	10.03
657	27.39	52	10.08
654	27.24	52	10.09
686	28.59	51	10.38
742	30.92	52	10.79
636	26.50	50	9.75
633	26.38	52	9.79
664	27.66	52	10.22
658	27.40	51	10.07
681	28.38	52	10.44
643	26.81	52	9.91
676	28.13	52	10.29
661	27.53	52	10.22
670	27.92	52	10.31
657	27.37	51	10.10
635	26.48	52	9.74
627	26.14	51	9.65
666	27.73	52	10.18
658	27.42	52	10.11
639	26.62	52	9.83
658	27.42	51	10.16
667	27.80	52	10.28
654	27.25	52	10.14
690	28.74	52	10.52
658	27.40	51	10.18
675	28.11	52	10.44
662	27.59	51	10.19
639	26.62	51	9.98
661	27.56	52	10.26
668	27.81	52	10.38
656	27.33	52	10.23
677	28.18	52	10.30
686	28.59	52	10.54
668	27.85	52	10.34
657	27.38	51	10.23
646	26.91	52	10.04
667	27.81	52	10.36
674	28.06	52	10.42
662	27.58	51	10.30
634	26.40	51	9.80
656	27.32	52	10.07
637	26.56	51	9.90
646	26.87	51	10.02
636	26.52	50	9.92
640	26.67	50	9.97
629	26.20	51	9.76
643	26.79	51	9.97
646	26.89	50	10.02
651	27.11	51	10.03
649	27.03	50	10.00
640	26.65	51	9.92
634	26.43	51	9.78
648	27.02	50	10.00
629	26.21	50	9.71
654	27.25	51	10.04
639	26.63	50	9.87
638	26.58	51	9.85
633	26.37	51	9.79
656	27.37	51	10.17
657	27.46	51	10.09
655	27.20	50	10.28
659	27.46	51	10.09
638	26.61	51	9.84
634	26.41	51	9.77
643	26.78	52	9.87
636	26.48	52	9.78
633	26.37	50	9.75
634	26.40	51	9.74
642	26.76	51	9.88
638	26.58	51	9.92
647	26.94	51	9.93
626	26.23	51	9.73
637	26.39	51	9.93
628	26.16	51	9.80
644	26.85	50	10.01
628	26.15	47	9.79
588	24.52	50	9.30
618	25.75	49	9.62
645	26.88	51	9.97
629	26.20	50	9.78
639	26.64	50	9.92
628	26.17	51	9.81
649	27.02	52	10.06
626	26.06	51	9.76
618	25.74	50	9.69
629	26.19	51	9.73
884	36.83	52	12.35
958	39.93	52	13.26
829	34.54	52	11.93
656	27.31	51	10.15
662	27.60	52	10.20
632	26.33	50	9.75
638	26.60	51	9.79
573	23.89	49	9.03
458	19.10	47	7.74
589	24.54	50	9.23
595	24.78	49	9.33
652	27.19	50	10.11
580	24.15	50	9.18
646	26.93	47	9.71
564	23.48	47	8.88
557	23.24	46	8.86
618	25.72	46	9.08
603	25.12	49	9.46
541	22.55	48	8.64
662	27.59	50	10.05
650	27.09	51	9.97
670	27.93	51	10.11
659	27.50	50	10.13
721	30.00	50	10.79
643	26.80	51	9.91
666	27.74	50	10.27
666	27.77	51	10.29
648	26.95	51	10.14
646	26.92	50	10.14
642	26.75	51	10.03
647	26.95	51	10.10
668	27.85	50	10.35
664	27.65	51	10.23
654	27.23	51	10.19
665	27.71	51	10.27
647	26.97	50	10.03
572	23.82	45	9.17
615	25.63	50	9.56
726	30.25	50	10.70
627	26.11	50	9.75
642	26.74	50	9.92
650	27.07	50	10.13
652	27.25	50	10.11
684	28.38	50	10.53
646	26.91	51	10.10
630	26.25	50	9.90
640	26.66	51	9.98
627	26.12	50	9.83
647	26.94	50	10.04
631	26.28	50	9.80
634	26.49	50	9.80
668	27.78	50	10.36
643	26.78	50	9.97
652	27.18	50	10.15
652	27.25	51	10.14
643	26.70	50	9.70
657	27.39	51	9.82
657	27.38	50	10.02
627	26.12	50	9.62
655	27.29	50	9.94
629	26.19	50	9.68
623	25.97	50	9.73
648	26.99	50	9.89
624	25.98	50	9.73
630	26.24	50	9.75
665	27.74	51	9.97
630	26.23	50	9.73
625	26.03	50	9.63
637	26.54	50	9.75
