Avg_MHz	Busy%	PkgTmp	PkgWatt
1070	44.70	52	13.62
1593	66.16	54	16.70
1066	44.66	55	13.52
672	27.84	55	10.56
638	26.58	54	10.36
637	26.55	54	10.24
682	28.41	53	10.55
634	26.43	53	9.91
638	26.60	54	10.07
631	26.37	52	9.81
632	26.23	53	10.01
659	27.46	53	10.10
962	40.11	53	13.46
993	41.35	55	13.58
688	28.66	54	10.66
674	28.07	54	10.54
650	27.13	53	10.25
664	27.64	54	10.40
654	27.24	53	10.24
655	27.28	54	10.27
666	27.74	52	10.34
681	28.39	53	10.59
656	27.31	52	10.30
665	27.70	53	10.13
648	27.00	53	10.12
631	26.28	53	9.94
633	26.36	52	9.95
740	30.88	53	10.49
640	26.62	53	10.14
647	26.96	53	10.19
663	27.61	53	10.31
653	27.20	53	10.26
637	26.55	52	10.06
632	26.33	52	10.01
661	27.54	52	10.42
669	27.86	54	10.55
673	28.02	53	10.47
652	27.19	53	10.22
624	26.02	53	9.89
654	27.26	54	10.19
659	27.45	52	10.20
666	27.74	54	10.41
662	27.58	53	10.26
680	28.33	54	10.63
655	27.31	52	10.26
661	27.54	53	10.45
632	26.34	53	9.93
662	27.55	53	10.25
634	26.41	53	10.08
708	29.49	53	10.66
641	26.73	53	10.11
635	26.50	52	10.00
630	26.21	52	9.90
643	26.78	52	10.12
637	26.56	52	9.94
512	21.33	49	8.44
460	19.17	50	7.81
477	19.86	50	8.00
491	20.45	50	8.08
506	21.10	49	8.32
576	24.00	49	9.07
570	23.75	49	8.95
572	23.93	51	9.11
568	23.60	50	9.17
592	24.67	49	9.31
577	24.18	49	9.04
670	27.74	49	10.30
645	26.85	50	10.04
642	26.75	49	9.97
692	28.84	50	10.54
617	25.71	49	9.63
612	25.49	49	9.52
572	23.84	49	9.10
599	24.94	49	9.34
594	24.79	49	9.35
660	27.50	49	10.11
644	26.84	49	9.88
692	28.85	50	10.51
656	27.33	50	10.13
654	27.26	50	10.15
641	26.72	49	10.00
696	29.00	50	10.55
664	27.66	50	10.22
655	27.30	49	10.17
657	27.47	50	10.04
671	27.85	49	10.40
675	28.14	50	10.35
665	27.70	49	10.20
663	27.60	50	10.18
669	27.91	50	10.21
664	27.79	49	10.17
664	27.54	49	10.29
648	27.00	50	10.03
658	27.44	49	10.14
663	27.62	50	10.18
654	27.23	50	10.04
556	23.18	49	8.96
421	17.53	48	7.33
507	21.12	49	8.40
479	20.02	48	7.92
518	21.52	48	8.54
561	23.39	49	9.04
519	21.61	48	8.47
498	20.76	49	8.33
496	20.70	48	8.23
580	24.12	50	9.31
583	24.29	48	9.24
545	22.71	48	8.82
533	22.22	48	8.73
426	17.73	47	7.30
450	18.73	48	7.68
463	19.31	48	7.84
447	22.66	45	6.61
578	24.10	45	8.81
595	24.81	48	8.97
622	25.93	45	9.27
494	20.60	45	8.18
385	16.06	45	6.72
390	16.27	45	6.86
478	19.90	45	7.45
462	19.27	45	7.52
581	24.19	45	8.71
454	18.92	46	7.45
645	26.88	45	9.66
394	16.42	45	6.87
340	14.15	44	6.21
357	14.86	45	6.44
339	14.13	44	6.11
340	14.18	45	6.20
382	15.93	45	6.67
515	21.43	45	8.14
640	26.68	49	9.59
816	33.98	50	11.83
648	27.02	45	9.83
333	13.87	44	6.09
382	15.91	44	6.61
324	13.49	44	6.03
374	15.59	43	6.62
366	15.25	45	6.58
351	14.64	43	6.28
409	17.04	44	6.88
338	14.09	43	6.14
352	14.67	43	6.35
361	15.05	44	6.40
440	23.14	50	6.95
678	28.19	51	10.42
631	26.30	51	9.75
768	32.00	52	10.76
633	26.38	52	9.85
663	27.61	52	10.24
683	28.46	49	9.86
635	26.47	51	9.92
624	26.00	52	9.75
547	22.78	49	8.77
500	20.83	49	8.28
521	21.73	50	8.45
453	18.88	48	7.68
397	16.56	47	7.07
430	17.93	47	7.44
562	23.42	50	8.91
539	22.46	49	8.73
468	19.51	47	7.78
580	24.17	49	9.09
380	15.83	47	6.77
413	17.21	47	6.98
385	16.02	46	6.85
533	22.22	47	8.63
547	22.81	47	8.78
586	24.42	48	9.27
542	22.61	45	8.48
621	25.85	48	9.71
513	21.38	45	8.40
397	16.51	44	7.07
427	17.81	44	7.33
548	22.87	48	8.72
459	19.12	45	7.72
481	20.04	45	8.04
472	19.65	44	7.92
571	23.79	44	9.05
465	19.36	44	7.78
435	18.13	44	7.46
572	23.87	48	9.02
684	28.49	48	10.47
647	26.94	50	9.98
630	26.23	49	9.74
550	23.00	48	8.70
453	18.79	47	7.83
391	16.29	47	6.99
473	19.69	48	8.04
711	29.61	49	10.92
672	28.01	48	10.34
669	27.89	48	10.33
631	26.29	48	9.84
635	26.45	49	9.91
629	26.20	48	9.82
644	26.83	48	9.97
680	28.42	49	10.33
673	27.95	48	10.30
656	27.32	49	10.15
646	26.91	48	9.96
587	24.45	48	9.20
673	28.06	49	10.27
617	25.71	48	9.58
660	27.51	48	10.18
655	27.28	48	10.12
685	28.54	48	10.45
650	27.09	48	10.08
676	28.17	48	10.23
629	26.20	48	9.77
658	27.41	48	10.05
656	27.33	48	10.09
645	26.90	48	9.97
651	27.13	48	10.01
674	28.05	50	10.35
660	27.50	48	10.20
652	27.18	49	10.12
633	26.39	48	9.76
636	26.49	48	9.85
631	26.29	48	9.77
639	26.64	48	9.89
644	26.85	48	9.91
807	33.65	52	11.55
834	34.74	49	11.80
639	26.61	49	9.83
623	25.97	49	9.67
629	26.21	49	9.69
591	24.62	49	9.38
654	27.24	49	10.03
648	27.01	49	9.91
680	28.34	49	10.38
650	27.08	49	10.08
654	27.27	49	10.11
644	26.85	49	9.89
662	27.56	49	10.23
655	27.30	49	9.97
656	27.33	49	10.11
658	27.43	49	10.11
664	27.65	49	10.17
651	27.12	49	10.05
