Avg_MHz	Busy%	PkgTmp	PkgWatt
788	35.36	52	10.40
704	29.53	54	10.71
657	27.22	53	10.45
652	27.19	54	10.57
653	27.21	54	10.49
641	26.69	54	10.34
633	26.37	54	10.10
626	26.08	53	10.05
668	27.84	52	10.54
640	26.66	53	10.22
636	26.62	54	10.10
634	26.29	54	10.26
635	26.48	54	10.16
637	26.48	54	10.32
661	27.54	53	10.49
652	27.16	54	10.39
680	28.31	54	10.55
654	27.26	54	10.29
652	27.17	54	10.37
858	35.75	54	11.72
653	27.21	54	10.46
637	26.53	54	10.30
650	27.07	54	10.38
653	27.40	54	10.38
670	27.76	54	10.70
665	27.73	53	10.60
626	26.03	54	10.16
648	27.00	54	10.40
640	26.68	54	10.29
655	27.27	54	10.47
635	26.46	54	10.19
697	29.03	54	10.70
639	26.64	54	10.19
650	27.10	54	10.45
646	26.92	54	10.35
627	26.16	54	10.12
636	26.46	54	10.23
612	25.51	54	9.99
608	25.34	53	9.78
648	27.01	54	10.35
670	27.91	55	10.57
642	26.76	53	10.28
675	28.13	54	10.59
660	27.49	54	10.54
649	27.03	52	10.27
581	24.19	53	9.48
699	29.13	54	10.81
684	28.64	53	10.58
652	27.01	54	10.50
642	26.74	54	10.29
628	26.18	54	10.08
635	26.48	54	10.16
637	26.55	53	10.19
605	25.20	52	9.74
474	19.76	50	8.23
647	26.97	51	9.80
633	26.36	51	9.92
634	26.42	51	9.96
678	28.23	51	10.08
644	26.85	50	10.01
631	26.33	51	9.99
639	26.66	51	10.19
646	26.87	51	10.27
649	27.03	51	10.30
669	27.88	51	10.56
655	27.30	51	10.42
494	20.59	50	8.51
618	25.85	51	9.93
620	25.78	50	10.05
643	26.75	51	10.27
642	26.75	51	10.24
670	27.94	51	10.54
665	27.69	51	10.54
663	27.61	51	10.53
632	26.34	51	10.22
635	26.46	51	10.17
636	26.52	50	10.26
636	26.54	51	10.26
656	27.29	51	10.44
658	27.43	51	10.48
634	26.43	51	10.23
651	27.10	51	10.42
653	27.20	51	10.43
657	27.36	51	10.49
686	28.60	51	10.76
681	28.37	51	10.72
669	27.84	51	10.68
657	27.36	50	10.54
666	27.75	50	10.59
656	27.33	51	10.46
667	27.79	50	10.56
655	27.28	50	10.47
667	27.78	50	10.60
658	27.45	51	10.45
668	27.84	50	10.64
654	27.20	50	10.43
678	28.26	50	10.73
664	27.67	50	10.57
645	26.85	51	10.38
632	26.35	51	10.22
666	27.77	51	10.59
786	32.76	51	11.96
955	39.79	51	13.26
835	34.81	51	12.07
663	27.65	51	10.49
628	26.24	51	10.11
678	28.15	51	10.66
672	28.02	51	10.63
663	27.62	51	10.56
731	30.46	51	10.90
711	29.64	51	10.78
967	40.29	52	13.15
686	28.58	51	10.32
634	26.42	51	9.97
649	27.01	51	10.03
652	27.19	51	9.91
664	27.66	50	10.04
640	26.69	50	9.72
643	26.79	50	9.83
659	27.44	50	10.13
629	26.20	50	9.98
627	26.13	51	10.00
635	26.54	50	9.95
642	26.68	50	10.05
595	24.81	51	9.64
664	27.67	51	10.52
652	27.16	50	10.32
657	27.36	51	10.48
673	28.04	50	10.58
674	28.09	51	10.56
656	27.33	50	10.45
644	26.85	50	10.30
652	27.15	50	10.30
636	26.50	51	10.23
631	26.30	50	10.14
651	27.11	51	10.40
648	27.00	50	10.33
633	26.36	50	10.14
639	26.63	50	10.24
549	22.89	50	9.24
517	21.56	51	8.70
476	19.80	50	8.31
514	21.43	51	8.61
612	25.65	54	9.95
638	26.46	54	10.27
626	26.11	54	10.17
661	27.51	54	10.48
651	27.11	54	10.46
663	27.63	54	10.51
886	36.93	55	11.54
725	30.20	55	11.01
669	27.88	54	10.67
655	27.29	54	10.39
654	27.25	54	10.43
690	28.81	54	10.58
702	29.19	54	10.89
903	37.62	55	12.09
958	39.96	55	12.97
885	36.83	55	12.44
738	30.76	55	11.20
742	30.92	54	11.05
875	36.49	46	11.05
661	27.55	48	9.67
674	28.11	51	10.48
712	29.60	52	10.93
695	28.94	52	10.84
754	31.40	52	11.01
756	31.48	52	10.82
718	29.90	50	10.35
683	28.46	50	10.35
680	28.35	50	10.35
683	28.45	51	10.38
991	41.31	52	12.70
799	33.28	52	11.69
1118	46.63	55	13.40
705	29.34	52	10.89
748	31.15	50	10.95
716	29.82	50	10.60
702	29.24	51	10.46
675	28.12	50	10.23
808	33.68	52	11.39
855	35.63	53	11.89
895	37.30	54	12.20
673	28.04	50	10.08
670	27.92	50	10.19
661	27.54	50	10.10
745	31.02	48	10.67
802	33.45	51	11.33
651	27.12	50	10.19
654	27.29	50	10.14
656	27.27	50	10.28
627	26.10	50	9.91
694	28.96	50	10.52
685	28.49	50	10.29
520	21.67	46	8.30
607	25.25	49	9.37
474	19.74	47	7.78
537	22.35	48	8.83
481	20.03	46	8.01
397	16.53	45	7.24
347	14.44	45	6.60
358	14.91	45	6.68
498	20.75	46	8.28
605	25.24	49	9.48
671	27.91	49	10.17
677	28.22	49	10.23
668	27.82	50	10.07
649	27.03	49	9.97
659	27.45	49	10.19
903	37.64	51	11.44
640	26.65	50	10.08
628	26.17	49	9.95
636	26.51	50	10.04
638	26.59	50	9.93
650	27.07	50	10.13
655	27.30	50	10.09
716	29.86	48	10.62
659	27.45	47	10.22
606	25.23	49	9.39
652	27.17	50	10.03
660	27.49	50	10.15
908	37.84	54	12.81
953	39.75	55	13.43
671	27.94	50	10.44
640	26.65	50	10.08
644	26.83	50	10.21
643	26.78	50	10.07
647	26.98	50	10.25
631	26.29	50	10.12
718	29.92	50	10.78
624	26.01	50	10.12
625	26.06	50	10.09
632	26.33	50	10.05
680	28.32	50	10.36
624	25.99	50	10.11
654	27.24	50	10.22
660	27.52	50	10.26
626	26.07	50	10.00
670	27.94	52	10.32
