Avg_MHz	Busy%	PkgTmp	PkgWatt
895	37.28	50	9.87
357	14.87	48	7.06
353	14.71	48	7.14
357	14.89	48	7.12
341	14.20	48	6.93
373	15.53	48	7.26
353	14.72	48	7.08
349	14.54	48	7.03
317	13.19	48	6.64
323	13.48	48	6.71
337	14.06	48	6.90
377	15.72	48	7.30
313	13.04	48	6.57
345	14.39	48	6.96
273	14.48	43	5.25
267	11.86	36	5.55
303	24.50	45	4.83
517	21.62	48	8.80
442	18.35	47	8.02
288	14.72	46	5.79
270	12.22	41	5.73
246	14.62	46	4.99
238	13.82	45	4.99
335	13.96	47	6.74
413	17.22	47	7.42
353	14.72	46	6.97
350	14.60	47	6.94
546	22.74	49	8.92
500	20.83	49	8.45
348	14.49	47	6.88
355	14.79	47	6.97
336	14.08	47	6.75
326	13.52	47	6.69
315	13.19	42	6.50
151	11.33	38	3.64
174	13.39	43	3.89
325	13.51	46	6.59
326	13.60	47	6.59
320	13.41	47	6.52
321	13.29	47	6.60
338	14.08	47	6.78
322	13.49	46	6.54
360	14.92	47	7.15
338	14.09	46	6.80
354	14.75	47	7.04
376	15.66	47	7.15
356	14.84	47	7.08
344	14.33	47	6.83
332	13.83	47	6.71
358	14.91	47	7.04
373	15.65	47	7.21
266	14.33	46	5.46
