Avg_MHz	Busy%	PkgTmp	PkgWatt
1021	42.55	49	11.56
663	27.62	50	11.06
671	27.96	51	10.99
630	26.26	50	10.63
658	27.40	51	10.88
578	24.08	50	9.98
434	18.11	50	8.32
511	21.27	50	9.25
651	27.12	50	10.89
631	26.29	50	10.28
651	27.13	50	10.26
569	23.71	51	9.85
663	27.60	51	10.99
650	27.07	51	10.80
659	27.46	51	10.98
638	26.60	51	10.49
653	27.20	52	10.85
652	27.18	51	10.86
677	28.22	52	11.15
620	25.85	52	10.45
621	25.87	51	10.37
618	25.80	51	10.47
678	28.22	51	11.15
649	27.07	51	10.81
665	27.69	52	11.03
642	26.76	51	10.81
638	26.63	52	10.60
645	26.80	52	10.77
658	27.40	51	10.87
646	26.93	51	10.78
649	27.14	52	10.76
613	25.45	51	10.39
628	26.17	51	10.46
588	24.54	52	10.04
425	17.71	50	8.29
327	13.71	49	7.12
443	18.35	50	8.53
534	22.25	50	9.51
648	26.98	51	10.78
634	26.40	52	10.48
617	25.72	52	10.34
609	25.41	51	10.25
581	24.17	51	10.06
547	22.79	50	9.65
386	16.07	50	7.87
470	19.64	50	8.57
556	23.17	50	9.74
636	26.46	52	10.65
585	24.36	50	10.05
653	27.22	51	10.81
678	28.23	52	11.12
594	24.74	51	10.07
583	24.30	54	10.04
662	27.56	54	10.84
638	26.62	55	10.70
618	25.77	54	10.38
616	25.60	54	10.52
636	26.52	54	10.61
631	26.32	55	10.59
817	33.97	54	12.80
967	40.28	56	14.69
647	26.97	55	10.85
502	20.94	51	9.19
448	18.66	50	8.47
470	19.56	52	8.72
422	17.60	52	8.16
554	23.02	53	9.75
566	23.60	51	9.86
618	25.76	51	10.40
658	27.40	52	10.91
652	27.32	52	10.85
656	27.19	52	11.04
660	27.49	52	11.03
671	27.95	52	11.06
751	31.31	52	11.45
652	27.14	52	10.85
648	26.98	52	10.75
642	26.74	52	10.70
647	26.97	52	10.84
616	25.63	52	10.35
614	25.57	52	10.32
650	27.09	52	10.83
649	27.06	52	10.87
682	28.43	52	11.06
644	26.85	52	10.70
617	25.69	52	10.34
625	26.05	52	10.48
615	25.64	52	10.30
653	27.24	52	10.89
669	27.86	52	11.00
618	25.77	52	10.37
612	25.60	51	10.24
605	25.11	52	10.27
627	26.12	52	10.58
736	30.67	53	11.84
1128	46.96	52	14.58
1071	44.66	50	14.14
631	26.26	49	10.16
621	25.89	49	10.03
653	27.21	48	10.09
630	26.26	48	10.02
649	27.04	48	10.05
671	27.98	48	10.32
491	20.45	46	8.79
394	16.43	46	7.88
398	16.59	46	7.85
496	20.67	48	8.95
622	25.91	49	10.47
