Avg_MHz	Busy%	PkgTmp	PkgWatt
657	27.38	52	10.49
707	29.45	53	11.05
663	27.62	53	10.45
651	27.14	53	10.35
658	27.42	53	10.48
666	27.73	53	10.54
654	27.24	53	10.45
631	26.42	53	10.24
687	28.47	54	10.88
657	27.36	54	10.59
666	27.77	53	10.64
659	27.43	53	10.61
653	27.20	53	10.51
666	27.74	53	10.66
639	26.62	53	10.38
630	26.23	53	10.28
665	27.69	53	10.65
692	28.85	54	10.88
654	27.23	52	10.51
639	26.63	54	10.38
626	26.09	52	10.22
646	26.90	52	10.44
665	27.72	54	10.66
641	26.72	53	10.35
648	26.99	52	10.45
667	27.80	53	10.70
661	27.55	53	10.59
648	27.01	52	10.42
628	26.19	53	10.19
628	26.14	53	10.21
623	25.96	52	10.19
637	26.55	53	10.35
664	27.68	52	10.60
637	26.56	52	10.32
644	26.83	53	10.41
642	26.72	52	10.41
643	26.81	53	10.29
631	26.30	52	10.28
665	27.69	52	10.62
654	27.27	52	10.52
684	28.52	53	10.81
665	27.71	52	10.61
656	27.35	52	10.52
643	26.79	53	10.37
624	26.00	52	10.19
634	26.40	52	10.30
639	26.63	54	10.36
645	26.86	53	10.44
690	28.77	54	10.88
667	27.75	53	10.65
662	27.59	53	10.56
667	27.79	53	10.64
680	28.34	53	10.71
628	26.18	52	10.15
655	27.30	53	10.49
684	28.51	53	10.80
685	28.55	53	10.86
667	27.82	55	10.63
682	28.36	55	10.82
643	26.79	55	10.38
629	26.29	54	10.08
679	28.19	52	10.26
651	27.17	55	10.40
638	26.54	55	10.31
638	26.58	55	10.28
632	26.35	54	10.17
628	26.18	55	10.15
661	27.54	55	10.43
651	27.11	55	10.37
635	26.47	55	10.22
632	26.32	54	10.18
633	26.39	54	10.23
638	26.75	55	10.15
958	39.70	57	13.61
729	30.38	55	11.24
636	26.51	55	10.21
633	26.36	55	10.17
629	26.21	55	10.13
580	24.18	53	9.50
438	18.26	51	7.87
378	15.74	50	7.13
511	21.31	52	8.69
657	27.36	54	10.44
679	28.30	54	10.58
660	27.51	55	10.59
672	27.98	55	10.64
633	26.37	54	10.23
614	25.58	53	9.98
635	26.45	55	10.21
674	28.09	55	10.69
650	27.10	55	10.43
598	24.91	54	9.78
499	20.77	52	8.70
1096	45.71	56	14.60
739	30.78	54	11.47
521	21.71	51	8.83
479	19.95	50	8.36
526	21.92	52	8.93
540	22.49	52	9.04
410	17.06	50	7.54
408	17.01	50	7.58
473	19.75	51	8.26
584	24.36	53	9.66
461	19.17	50	8.16
666	27.77	54	10.60
648	26.99	54	10.47
815	33.97	55	11.50
632	26.31	55	10.20
684	28.51	55	10.72
653	27.18	55	10.44
641	26.72	54	10.31
647	27.02	55	10.36
655	27.25	55	10.50
659	27.47	55	10.56
671	27.97	55	10.63
671	27.95	55	10.47
627	26.11	54	10.10
632	26.34	55	10.18
634	26.43	55	10.20
630	26.26	54	10.19
632	26.43	55	10.12
672	27.92	55	10.71
666	31.46	44	9.76
565	26.83	49	8.79
640	26.70	50	9.97
665	27.68	50	10.23
663	27.66	50	10.35
633	26.34	50	9.99
657	27.40	50	10.23
628	26.14	50	10.05
660	27.52	49	10.24
544	22.65	47	8.99
505	21.12	48	8.49
643	26.67	50	10.06
654	27.29	50	9.96
626	26.07	50	9.99
643	26.78	50	10.22
669	27.87	51	10.24
639	26.64	50	10.05
626	26.10	50	10.05
628	26.19	50	10.01
626	26.08	50	10.03
668	27.84	50	10.19
649	27.02	50	10.10
659	27.46	50	10.09
658	27.42	50	10.02
643	26.81	50	10.01
625	26.06	50	10.08
635	26.43	50	10.08
623	25.94	50	10.01
629	26.19	50	10.09
626	26.23	50	9.88
698	28.96	51	10.63
660	27.50	50	10.11
662	27.57	51	10.12
657	27.36	50	10.11
651	27.11	50	10.08
652	27.18	50	10.05
669	27.95	54	10.60
634	26.36	55	10.25
658	27.41	54	10.48
628	26.17	55	10.18
647	26.95	55	10.47
628	26.22	54	10.15
628	26.13	54	10.17
630	26.23	54	10.26
631	26.28	55	10.24
645	26.89	55	10.42
631	26.30	55	10.24
627	26.18	55	10.11
629	26.15	55	10.28
633	26.38	55	10.21
630	26.24	55	10.16
627	26.13	54	10.15
646	26.93	55	10.36
624	26.00	55	10.14
693	28.88	55	10.78
668	27.85	55	10.66
663	27.62	54	10.61
661	27.56	55	10.54
663	27.63	54	10.61
706	29.41	55	10.85
671	27.98	55	10.70
638	26.57	55	10.23
625	26.06	55	10.17
641	26.69	55	10.30
650	27.07	55	10.45
633	26.37	54	10.21
641	26.72	55	10.33
666	27.74	55	10.58
659	27.44	55	10.53
673	28.05	55	10.69
669	27.86	54	10.61
675	28.14	55	10.65
653	27.20	55	10.41
660	27.50	55	10.57
661	27.56	55	10.61
665	27.72	55	10.63
665	27.74	55	10.65
628	26.14	55	10.17
646	26.92	55	10.37
682	28.42	55	10.79
661	27.56	55	10.61
692	28.89	55	10.85
665	27.66	55	10.65
656	27.34	55	10.49
688	28.65	55	10.87
635	26.45	54	10.21
655	27.28	55	10.41
659	27.50	55	10.47
660	27.61	55	10.53
670	27.79	54	10.72
696	29.01	54	10.91
1037	43.21	57	14.75
880	36.76	56	13.12
651	27.08	55	10.53
647	26.94	55	10.34
655	27.31	54	10.44
684	28.50	55	10.65
684	28.51	52	10.49
626	26.08	51	10.06
658	27.41	51	10.37
668	27.83	51	10.51
626	26.08	51	10.04
630	26.25	51	10.09
633	26.36	50	10.15
767	31.98	52	11.05
661	27.55	51	10.40
636	26.50	50	10.14
628	26.15	50	10.08
635	26.44	51	10.21
630	26.27	50	9.99
663	27.62	50	10.44
661	27.59	52	10.36
649	27.00	51	10.30
682	28.43	50	10.60
680	28.32	52	10.60
660	27.49	52	10.41
657	27.49	51	10.27
