Avg_MHz	Busy%	PkgTmp	PkgWatt
763	27.34	39	29.09
740	26.54	38	28.86
764	27.36	38	29.29
738	26.42	39	28.70
751	26.88	38	28.96
768	27.48	39	28.92
745	26.68	39	28.78
746	26.72	38	28.74
730	26.13	38	28.63
742	26.56	39	28.71
750	26.85	39	28.86
745	26.69	39	28.71
745	26.68	39	28.78
748	26.78	39	28.84
755	27.02	38	28.87
756	27.14	38	28.63
750	26.79	38	29.06
748	26.79	39	28.77
739	26.45	39	28.70
755	27.02	39	28.94
748	26.76	39	28.81
751	26.87	39	28.82
743	26.66	39	28.52
752	26.87	39	29.10
750	26.85	39	28.88
755	27.02	38	28.95
745	26.66	39	28.77
768	27.54	39	28.86
726	26.20	42	29.18
753	26.96	42	29.00
745	26.69	43	28.96
763	27.33	42	29.10
732	26.21	42	29.24
753	26.97	42	29.04
748	26.77	42	29.05
766	27.42	43	29.27
744	26.63	43	28.93
738	26.41	43	29.05
742	26.58	43	28.83
764	27.36	43	29.16
898	32.14	43	30.32
1405	50.30	43	34.39
741	26.53	43	29.08
768	27.48	43	29.28
747	26.73	43	29.30
754	26.98	43	29.06
728	26.07	43	28.79
756	27.05	43	29.22
745	26.66	43	28.89
751	26.87	43	29.04
738	26.46	43	28.66
744	26.59	43	29.04
743	26.58	44	28.89
754	27.01	43	29.03
739	26.46	43	28.97
754	27.01	44	29.09
751	26.89	43	29.24
759	27.16	43	29.14
745	26.67	43	28.96
756	27.05	44	28.94
733	26.23	43	29.03
747	26.76	43	28.98
746	26.70	44	29.14
758	27.15	44	29.23
729	26.09	44	28.77
751	26.88	43	29.00
744	26.62	43	29.07
755	27.02	43	29.08
745	26.68	43	29.28
740	26.48	43	29.16
744	26.62	43	28.89
753	26.95	44	28.93
742	26.57	43	29.02
745	26.68	43	29.01
740	26.50	44	28.96
756	27.05	43	29.12
734	26.56	41	28.63
747	26.74	41	28.81
730	26.14	41	28.69
762	27.27	41	28.96
743	26.62	41	28.80
752	26.91	41	29.05
730	26.14	41	28.71
761	27.23	42	29.05
742	26.55	43	28.81
750	26.84	41	28.83
738	26.41	42	28.74
753	26.96	42	28.92
744	26.64	41	29.14
749	26.81	41	28.88
739	26.44	41	28.77
740	26.50	41	28.77
745	26.66	42	28.77
750	26.84	41	28.91
740	26.50	41	28.81
769	27.53	41	29.17
733	26.24	41	28.75
752	26.92	41	28.94
743	26.61	41	28.83
758	27.13	41	29.00
738	26.43	42	28.81
748	26.79	42	28.92
753	26.97	43	29.02
770	27.56	42	29.17
738	26.40	42	28.81
750	26.84	42	28.91
749	26.83	42	28.91
753	26.97	42	29.01
746	26.70	42	28.90
742	26.57	41	28.85
743	26.59	41	28.81
759	27.17	42	28.93
742	26.56	42	28.82
765	27.39	42	29.07
735	26.33	42	28.81
758	27.13	42	29.01
745	26.66	41	28.86
760	27.22	42	29.02
734	26.26	42	28.79
762	27.27	42	29.02
1069	38.27	42	31.49
750	26.83	41	28.93
730	26.14	43	28.74
759	27.15	42	29.01
744	26.62	42	28.79
757	27.09	42	29.07
740	26.50	42	28.80
749	26.81	42	28.90
743	26.59	43	28.88
755	27.03	42	29.01
741	26.59	42	28.72
745	26.74	42	28.78
742	26.55	43	28.88
776	27.78	43	29.19
749	26.82	42	29.13
780	27.93	42	29.34
734	26.29	42	28.83
763	27.32	42	29.07
752	26.93	42	28.95
770	27.58	42	29.24
756	27.05	42	28.98
751	26.90	42	29.00
742	26.55	42	28.98
772	27.64	42	29.27
751	26.89	43	28.95
752	26.91	42	28.94
743	26.61	42	28.92
760	27.22	42	29.05
746	26.70	43	28.96
760	27.20	43	29.05
765	27.40	43	29.12
758	27.15	43	29.02
735	26.30	42	28.82
758	27.13	42	29.00
742	26.56	42	28.83
764	27.34	42	29.15
745	26.66	42	28.84
741	26.54	42	28.88
739	26.47	42	28.76
764	27.36	41	29.13
744	26.63	42	28.91
760	27.22	43	29.06
748	26.79	43	28.92
764	27.35	43	29.14
749	26.81	42	29.00
759	27.19	42	29.09
733	26.23	42	28.86
765	27.37	43	29.06
747	26.73	42	28.96
760	27.21	42	29.09
737	26.37	43	28.86
763	27.33	43	29.07
749	26.81	43	29.01
754	27.00	42	28.95
753	26.95	42	29.04
748	26.79	42	28.89
756	27.06	42	29.05
758	27.15	42	29.03
749	26.83	42	28.92
755	27.04	43	29.07
737	26.37	43	28.79
747	26.75	43	28.92
746	26.72	43	28.89
757	27.10	43	29.04
750	26.84	43	28.87
752	26.91	43	28.98
745	26.67	43	28.84
751	26.88	43	28.89
751	26.87	42	28.91
740	26.48	42	28.79
747	26.75	42	28.93
747	26.75	44	28.79
753	26.94	43	29.01
745	26.69	43	28.94
749	26.81	43	28.99
752	26.91	43	28.92
746	26.70	42	28.91
749	26.83	42	28.84
743	26.59	42	28.88
786	28.15	42	29.35
758	27.14	42	28.99
753	26.96	42	28.94
758	27.12	43	29.01
739	26.47	43	28.90
752	26.93	43	28.98
747	26.76	44	28.99
757	27.09	43	29.03
754	27.00	43	29.02
751	26.88	44	28.96
739	26.45	43	28.85
