Avg_MHz	Busy%	PkgTmp	PkgWatt
119	7.90	37	13.21
659	23.62	38	24.55
547	19.78	38	22.91
735	26.32	39	26.35
269	12.94	38	17.12
830	29.72	39	26.82
766	27.44	40	25.93
753	26.96	39	25.97
780	27.92	39	26.21
768	27.50	39	26.03
755	27.01	40	25.92
768	27.50	38	26.13
771	27.60	39	26.08
763	27.32	39	25.94
756	27.06	39	26.01
791	28.31	39	26.27
776	27.79	40	26.17
769	27.52	40	26.06
755	27.02	39	25.95
773	27.69	39	26.10
763	27.32	39	26.00
750	26.84	39	25.93
774	27.70	40	26.15
760	27.22	39	25.96
741	26.52	39	25.73
777	27.81	40	26.16
777	27.82	40	26.13
782	28.05	40	26.13
741	26.57	40	25.70
763	27.34	39	25.97
761	27.23	40	26.00
744	26.69	40	25.71
840	29.96	40	27.25
888	31.84	40	27.82
796	28.49	40	26.88
1028	36.82	40	28.66
1029	36.83	40	28.59
862	30.87	40	27.14
856	30.64	41	27.30
874	31.29	41	27.09
874	31.30	41	26.98
848	30.36	41	26.83
969	34.69	40	28.14
760	27.20	40	26.03
766	27.40	40	26.08
758	27.14	40	26.00
741	26.52	40	25.85
762	27.27	40	26.03
766	27.42	40	26.06
757	27.11	40	25.97
1028	36.80	40	28.26
819	29.31	39	26.78
758	27.13	39	26.04
820	29.37	40	27.02
831	29.74	40	26.94
815	29.19	40	26.89
811	29.05	40	26.94
805	28.83	40	26.49
1012	36.21	40	28.42
913	32.71	41	27.53
895	32.03	40	27.50
791	28.30	40	26.48
1232	44.10	41	30.45
834	29.85	40	26.95
824	29.51	40	26.72
1038	37.15	40	28.57
836	29.92	40	26.99
760	27.23	41	26.14
765	27.40	41	26.17
761	27.26	40	26.18
749	26.80	40	26.02
758	27.12	40	26.11
760	27.19	41	26.05
762	27.27	40	26.14
744	26.63	41	25.95
757	27.11	40	26.05
766	27.43	41	26.20
740	26.48	41	25.88
772	27.65	40	26.20
1135	40.64	40	29.29
762	27.26	40	26.10
745	26.68	40	25.93
757	27.11	41	26.08
754	26.99	41	25.98
739	26.47	41	25.88
755	27.02	41	25.97
761	27.24	40	26.11
750	26.85	41	25.90
745	26.66	40	25.97
749	26.81	40	25.87
756	27.07	41	26.03
736	26.36	40	25.79
768	27.48	40	26.21
755	27.03	40	25.98
756	27.06	40	26.05
746	26.72	40	25.97
760	27.21	41	26.09
771	27.60	40	26.16
744	26.62	40	25.97
763	27.33	41	26.08
759	27.16	40	26.01
755	27.02	40	26.01
736	26.34	40	25.88
771	27.62	40	26.23
774	27.69	41	26.22
736	26.33	41	25.77
756	27.08	41	26.00
757	27.12	41	26.08
759	27.18	41	26.02
743	26.59	41	26.00
758	27.13	41	26.08
764	27.37	41	26.23
743	26.59	41	25.89
1362	48.76	41	30.87
761	27.23	41	26.10
752	26.85	41	26.22
749	26.89	40	25.84
756	27.07	41	26.13
762	27.26	41	26.16
740	26.50	42	25.97
765	27.38	41	26.26
771	27.60	42	26.29
756	27.07	41	26.20
758	27.14	41	26.15
760	27.20	41	26.17
761	27.26	40	26.18
746	26.72	41	26.08
776	27.79	41	26.32
762	27.29	40	26.25
755	27.02	41	26.11
765	27.39	41	26.26
769	27.52	41	26.17
756	27.07	41	26.06
751	26.88	41	26.09
764	27.33	41	26.15
761	27.25	41	26.21
747	26.72	41	25.97
784	28.06	42	26.43
771	27.59	41	26.20
764	27.35	41	26.23
766	27.43	41	26.14
772	27.66	41	26.35
762	27.26	41	26.12
744	26.63	42	26.07
764	27.36	42	26.15
770	27.57	41	26.23
788	28.20	41	26.40
747	26.74	41	25.99
772	27.65	41	26.30
776	27.77	41	26.24
752	26.93	41	26.11
776	27.77	41	26.24
791	28.33	41	26.44
754	26.98	41	26.05
1293	46.28	41	30.75
822	29.43	41	26.71
807	28.88	42	26.73
1128	40.38	41	29.31
827	29.59	41	26.73
778	27.84	41	26.26
756	27.06	41	26.05
762	27.27	41	26.10
769	27.51	41	26.12
775	27.75	42	26.25
745	26.67	42	25.98
767	27.48	42	26.11
790	28.19	42	26.59
754	27.16	41	25.74
773	27.57	42	26.34
767	27.45	43	26.15
769	27.53	42	26.15
753	26.97	41	26.06
764	27.34	41	26.06
769	27.55	42	26.18
744	26.63	41	25.89
782	27.99	41	26.28
826	29.56	42	27.36
796	28.50	42	26.47
823	29.47	42	26.81
761	27.26	43	26.03
783	28.03	42	26.56
760	27.22	42	26.17
775	27.72	42	26.20
781	27.95	41	26.22
844	30.22	42	27.24
845	30.25	41	27.51
935	33.45	42	27.81
1501	53.73	44	32.11
1510	54.05	42	32.38
880	31.52	42	27.32
785	28.09	42	26.30
787	28.18	42	26.38
866	31.00	41	27.32
782	28.01	42	26.34
852	30.48	41	27.03
1238	44.34	42	30.42
893	31.98	42	27.62
928	33.24	42	27.55
749	26.81	42	26.01
1019	36.47	42	28.70
887	31.76	42	27.62
860	30.80	43	27.09
791	28.32	42	26.47
959	34.35	43	28.47
843	30.41	42	26.83
938	33.32	43	28.14
967	34.61	43	28.21
935	33.48	42	28.14
1368	48.96	43	31.07
1232	44.10	43	30.47
1086	38.87	42	29.07
942	33.75	42	27.83
754	26.96	42	26.03
769	27.53	43	26.22
761	27.25	43	26.10
763	27.30	44	26.10
761	27.25	42	26.17
763	27.33	42	26.12
850	30.45	42	27.18
859	30.77	41	27.36
776	27.77	42	26.34
833	29.83	42	26.99
830	29.70	43	27.00
807	28.90	42	26.73
798	28.56	42	26.53
888	31.79	42	27.57
829	29.67	43	26.99
858	30.73	42	26.89
773	27.69	42	26.16
776	27.78	43	26.18
765	27.38	43	26.17
773	27.67	42	26.17
769	27.53	42	26.09
745	26.69	43	25.85
772	27.62	42	26.24
778	27.87	43	26.23
746	26.70	42	25.96
