Avg_MHz	Busy%	PkgTmp	PkgWatt
1340	49.10	42	31.10
2428	86.94	44	40.65
923	34.84	41	26.97
813	29.10	41	26.89
817	29.27	41	27.17
844	30.21	41	27.24
811	29.03	41	26.45
848	30.37	42	26.69
817	29.23	41	26.45
796	28.49	41	26.31
796	28.49	41	26.32
801	28.68	41	26.33
808	28.92	41	26.41
845	30.26	41	26.72
806	28.86	41	26.34
791	28.30	41	26.27
792	28.34	41	26.28
803	28.74	42	26.40
819	29.32	42	26.48
793	28.37	41	26.23
815	29.19	41	26.58
789	28.26	42	26.30
809	28.95	42	26.48
796	28.51	42	26.36
798	28.58	41	26.33
797	28.53	41	26.33
813	29.11	42	26.49
1186	42.47	42	29.58
799	28.62	41	26.39
812	29.12	42	26.39
874	31.29	41	27.04
805	28.81	41	26.44
864	30.92	42	27.02
816	29.21	42	26.48
817	29.26	42	26.54
855	30.61	41	26.93
844	30.21	42	26.80
810	29.02	42	26.57
820	29.35	42	26.59
801	28.66	41	26.41
821	29.40	41	26.53
802	28.76	42	26.20
813	29.80	42	25.97
818	29.11	44	27.24
851	30.47	44	27.09
811	29.04	44	26.67
821	29.39	44	26.68
825	29.54	44	26.88
831	29.75	44	26.73
817	29.25	44	26.65
818	29.28	44	26.59
810	29.01	44	26.57
1149	41.13	45	29.39
1018	36.45	45	28.72
1114	39.89	44	29.75
835	29.90	45	26.95
846	30.27	44	26.98
875	31.33	44	27.18
1267	45.37	44	30.40
1182	42.33	45	30.21
1051	37.63	45	29.02
853	30.56	45	27.12
873	31.26	44	27.29
862	30.88	45	27.19
850	30.42	44	26.93
1040	37.24	44	28.67
921	32.99	45	27.74
871	31.18	44	27.21
820	29.36	44	26.62
849	30.39	44	26.92
812	29.08	45	26.49
832	29.80	45	26.72
868	31.06	45	27.03
844	30.21	44	26.77
821	29.39	45	26.69
846	30.27	45	26.80
830	29.72	45	26.75
843	30.19	44	26.82
819	29.32	44	26.70
860	30.80	45	26.89
819	29.31	44	26.57
879	31.47	45	27.09
823	29.47	45	26.66
839	30.05	45	26.69
836	29.94	44	26.75
819	29.32	44	26.51
801	28.67	44	26.48
1210	43.34	44	29.72
836	29.91	44	26.82
835	29.89	45	26.66
817	29.23	45	26.60
822	29.45	45	26.59
832	29.77	44	26.60
873	31.24	44	27.03
808	28.94	45	26.43
840	30.08	45	26.87
831	29.76	45	26.83
843	30.18	44	26.76
862	30.84	44	26.93
837	29.95	44	26.71
884	31.65	45	27.06
808	28.92	45	26.46
845	30.25	44	26.83
804	28.80	44	26.37
842	30.13	45	26.76
808	28.94	44	26.44
842	30.15	44	26.81
813	29.12	45	26.52
863	30.89	45	26.97
830	29.71	45	26.79
838	30.01	45	26.68
810	28.99	44	26.58
851	30.55	45	26.78
827	29.43	44	26.87
806	28.92	45	26.39
840	30.06	46	26.66
832	29.80	45	26.80
1207	43.22	45	29.58
801	28.67	45	26.43
831	29.76	45	26.64
824	29.48	45	26.72
851	30.47	45	26.79
829	29.69	44	26.73
832	29.78	45	26.66
823	29.44	45	26.63
851	30.47	44	26.88
807	28.89	44	26.54
832	29.80	44	26.63
825	29.53	45	26.57
908	32.50	45	27.26
802	28.70	44	26.37
834	29.87	44	26.65
823	29.45	45	26.64
824	29.61	45	26.43
847	30.21	45	26.99
815	29.17	45	26.51
845	30.25	45	26.87
834	29.87	44	26.67
849	30.39	46	26.76
818	29.27	45	26.52
838	29.99	45	26.74
802	28.72	45	26.38
850	30.43	45	26.84
811	29.02	45	26.41
868	31.07	45	26.98
821	29.38	45	26.50
830	29.70	45	26.63
1181	42.30	44	29.63
848	30.34	44	26.76
826	29.57	45	26.65
841	30.11	45	26.74
847	30.33	44	26.81
833	29.81	44	26.66
816	29.21	44	26.57
841	30.12	45	26.76
823	29.47	45	26.61
849	30.40	44	26.89
813	29.11	45	26.50
837	29.98	45	26.73
817	29.27	44	26.47
845	30.24	45	26.74
819	29.32	45	26.58
837	29.98	45	26.76
811	29.03	45	26.47
830	29.73	46	26.74
895	32.04	46	27.21
893	31.98	45	27.25
848	30.36	45	26.88
856	30.64	46	26.95
821	29.39	46	26.62
857	30.67	44	26.97
817	29.25	45	26.59
833	29.82	45	26.67
818	29.28	45	26.70
852	30.50	45	26.83
815	29.17	45	26.56
830	29.71	45	26.70
1198	42.90	45	29.89
867	31.02	46	27.18
829	29.68	44	26.73
838	30.00	45	26.80
827	29.61	45	26.75
835	29.90	44	26.76
810	29.00	44	26.48
839	30.97	45	25.83
861	30.24	43	27.75
844	30.23	43	26.72
816	29.20	43	26.48
843	30.17	43	26.65
807	28.90	44	26.33
858	30.70	44	26.89
814	29.14	44	26.45
853	30.53	43	26.84
799	28.60	44	26.28
831	29.74	44	26.67
857	30.69	44	26.83
853	30.53	44	26.84
805	28.83	44	26.47
835	29.91	44	26.68
813	29.10	44	26.49
841	30.10	44	26.68
822	29.44	44	26.52
889	31.84	44	27.04
820	29.34	43	26.53
826	29.57	44	26.49
824	29.51	44	26.58
855	30.61	44	26.85
1246	44.61	45	29.79
814	29.13	44	26.52
851	30.46	44	26.78
846	30.29	44	26.77
852	30.50	44	26.82
809	28.96	44	26.41
844	30.20	44	26.82
825	29.54	44	26.61
859	30.75	44	27.04
821	29.38	44	26.61
833	29.81	43	26.70
821	29.38	45	26.51
840	30.09	44	26.72
809	28.95	44	26.40
849	30.40	44	26.86
820	29.36	44	26.56
838	30.01	44	26.68
982	35.17	44	28.04
813	29.09	44	26.43
873	31.24	45	27.01
842	30.16	43	26.70
853	30.55	43	26.84
806	28.86	44	26.38
865	30.97	44	26.88
834	29.84	44	26.79
1210	43.33	44	29.71
813	29.10	44	26.46
829	29.69	45	26.51
823	29.45	44	26.59
838	29.99	44	26.59
814	29.16	44	26.45
