Avg_MHz	Busy%	PkgTmp	PkgWatt
766	27.45	39	25.91
767	27.48	40	25.85
794	28.42	39	26.28
817	29.24	40	26.36
755	27.02	40	25.85
778	27.86	40	26.05
784	28.05	39	26.25
768	27.50	40	26.00
755	27.01	39	25.89
773	27.66	39	25.99
779	28.32	39	25.27
787	28.12	40	27.01
779	27.90	40	26.24
768	27.50	41	26.24
773	27.66	40	26.05
781	27.95	40	26.14
768	27.49	40	26.08
771	27.61	41	26.04
774	27.71	40	26.14
771	27.60	40	26.15
776	27.78	40	26.13
777	27.83	41	26.09
781	27.95	40	26.25
767	27.43	42	26.11
771	27.66	41	26.00
785	28.09	41	26.17
774	27.72	41	26.13
787	28.17	41	26.17
770	27.57	41	26.12
782	27.98	41	26.17
784	28.08	41	26.21
782	27.99	41	26.21
784	28.06	41	26.22
788	28.17	43	26.32
777	27.88	41	26.13
789	28.24	41	26.32
795	28.47	41	26.36
787	28.19	41	26.27
777	27.80	43	26.12
770	27.58	41	26.11
785	28.11	41	26.29
800	28.65	40	26.41
786	28.12	41	26.29
788	28.20	43	26.24
768	27.48	41	26.14
783	28.04	41	26.19
785	28.10	41	26.29
812	29.06	41	26.40
783	28.03	41	26.28
768	27.50	41	26.10
782	27.99	41	26.14
786	28.15	41	26.25
801	28.67	41	26.30
778	27.86	41	26.18
773	27.66	41	26.13
801	28.67	41	26.41
1166	41.72	41	29.37
786	28.13	41	26.24
802	28.71	43	26.24
762	27.27	41	26.08
784	28.06	42	26.20
783	28.02	41	26.17
783	28.01	41	26.32
782	28.01	43	26.17
765	27.38	42	26.10
799	28.62	42	26.37
784	28.06	42	26.30
788	28.42	42	25.90
779	27.66	42	26.67
776	27.80	42	26.08
791	28.30	41	26.33
806	28.85	42	26.41
796	28.50	42	26.25
772	27.64	42	26.27
789	28.23	41	26.30
779	27.89	41	26.21
786	28.13	41	26.19
797	28.53	41	26.33
760	27.22	42	25.97
785	28.12	41	26.12
777	27.80	41	26.18
795	28.47	42	26.49
786	28.14	42	26.31
769	27.52	42	26.13
800	28.65	42	26.44
791	28.31	42	26.27
783	28.04	42	26.30
782	27.98	41	26.19
764	27.48	41	25.85
803	28.76	41	26.33
776	27.78	40	25.97
793	28.37	40	26.30
766	27.43	40	25.88
781	27.97	40	26.19
781	27.97	40	26.04
790	28.29	40	26.14
792	28.34	40	26.22
772	27.64	41	26.00
832	29.80	40	26.50
782	28.01	41	26.15
788	28.22	40	26.20
803	28.76	40	26.26
764	27.36	40	25.94
805	28.83	40	26.27
780	27.91	41	26.06
797	28.54	41	26.21
782	27.97	43	26.27
767	27.51	40	25.80
778	27.86	41	26.01
789	28.23	40	26.09
781	27.97	41	26.00
762	27.27	41	25.90
1192	42.67	40	29.53
782	28.01	41	26.06
786	28.13	40	26.06
775	27.76	40	26.00
756	27.07	41	25.78
781	27.97	41	26.07
781	27.97	41	26.01
781	27.97	41	26.09
770	27.57	43	25.85
777	27.83	41	26.10
775	27.73	41	25.98
776	27.80	41	26.04
784	28.08	41	26.09
778	27.86	41	26.13
778	27.85	40	26.03
776	27.79	41	25.96
777	27.80	41	26.01
789	28.22	41	26.13
780	27.87	40	26.23
787	28.20	40	26.11
789	28.23	40	26.20
786	28.22	40	25.74
786	28.09	43	26.30
757	27.10	40	25.87
782	27.98	41	26.05
792	28.37	41	26.22
786	28.15	41	26.07
770	27.90	40	25.56
772	27.31	41	26.52
790	28.27	41	26.20
792	28.35	41	26.19
787	28.19	41	26.22
786	28.12	41	26.13
780	27.94	43	26.09
769	27.52	40	25.98
780	27.94	41	26.21
773	27.68	41	25.99
786	28.13	40	26.06
763	27.33	41	25.86
774	27.71	41	25.98
771	27.62	40	25.97
797	28.53	41	26.19
783	28.03	42	26.13
766	27.37	40	26.08
793	29.01	41	25.25
777	27.79	42	26.61
786	28.13	42	26.13
779	27.89	44	26.05
774	27.71	43	26.15
793	28.41	43	26.19
786	28.15	42	26.13
835	29.90	42	26.51
768	27.50	43	26.03
788	28.22	43	26.17
792	28.36	42	26.19
1158	41.44	43	29.23
784	28.07	43	26.12
769	27.53	43	26.07
792	28.36	43	26.18
781	27.95	43	26.09
825	29.52	44	26.46
761	27.26	42	25.88
790	28.30	43	26.25
783	28.05	42	26.13
781	27.94	44	26.11
794	28.41	42	26.24
762	27.29	42	25.99
791	28.33	43	26.19
777	27.80	43	26.08
793	28.39	43	26.19
809	28.96	43	26.35
753	26.98	43	25.79
787	28.16	43	26.16
789	28.24	43	26.20
786	28.14	43	26.19
760	27.23	43	25.91
781	27.88	44	26.30
793	28.65	42	26.23
790	29.03	42	25.65
792	27.96	44	26.73
762	27.27	45	25.96
799	28.60	45	26.35
784	28.07	45	26.20
785	28.11	45	26.28
783	28.02	44	26.22
787	28.16	44	26.21
783	28.05	45	26.17
782	27.98	45	26.13
760	27.21	45	25.99
787	28.18	45	26.30
794	28.44	45	26.32
783	28.03	45	26.22
775	27.75	45	26.15
759	27.17	45	25.93
775	27.76	45	26.35
789	28.26	45	26.50
791	28.32	45	26.39
775	27.75	45	26.19
759	27.19	45	26.08
773	27.68	45	26.13
785	28.10	45	26.36
783	28.04	45	26.18
787	28.16	45	26.28
762	27.29	45	26.07
785	28.10	45	26.19
781	27.98	45	26.26
780	27.91	45	26.34
763	27.31	44	25.99
789	28.26	45	26.28
789	28.23	45	26.36
803	28.75	45	26.53
758	27.15	44	25.95
776	27.78	44	26.35
1154	41.30	45	29.27
788	28.23	45	26.27
779	27.88	44	26.20
763	27.30	45	26.01
777	27.81	45	26.23
778	27.86	42	26.24
795	28.45	42	26.23
783	28.02	41	26.10
760	27.20	42	25.91
789	28.26	41	26.18
795	28.47	42	26.21
771	27.93	43	25.81
1570	56.21	45	33.39
