Avg_MHz	Busy%	PkgTmp	PkgWatt
610	22.99	42	19.37
485	19.41	43	20.19
726	26.00	45	26.65
732	26.19	44	26.67
719	25.75	44	26.57
725	25.94	44	26.63
722	25.84	44	26.62
725	25.94	44	26.68
725	25.96	45	26.69
725	25.94	44	26.65
728	26.21	43	26.56
723	25.89	43	26.51
722	25.83	43	26.53
720	25.76	44	26.49
726	25.99	44	26.56
731	26.17	43	26.62
723	25.87	43	26.54
722	25.86	44	26.51
718	25.72	44	26.58
721	25.82	44	26.53
720	25.76	43	26.51
733	26.24	44	26.70
723	25.88	44	26.54
717	25.85	44	26.42
721	25.82	45	26.63
725	25.94	45	26.65
736	26.36	45	26.85
731	26.17	45	26.74
725	25.95	45	26.65
731	26.20	44	26.73
725	26.10	45	26.32
730	26.03	45	26.94
724	25.91	45	26.64
732	26.19	44	26.78
718	25.69	45	26.53
722	25.85	45	26.60
734	26.28	44	26.80
731	26.19	45	26.66
738	26.42	44	26.78
722	25.85	44	26.58
722	25.85	45	26.62
724	25.93	45	26.60
717	25.65	45	26.56
722	25.83	45	26.58
728	26.08	45	26.69
726	26.01	44	26.63
719	25.73	45	26.59
720	25.76	46	26.54
716	25.64	45	26.57
724	25.93	45	26.61
720	25.78	45	26.57
735	26.33	45	26.83
718	25.69	46	26.51
720	25.78	45	26.60
722	25.84	45	26.58
725	25.97	45	26.66
741	26.51	45	26.80
725	25.94	45	26.68
726	26.01	46	26.62
736	26.36	46	27.05
784	28.06	45	27.98
838	30.00	46	28.49
809	28.94	45	27.84
731	26.17	45	26.69
966	34.58	45	28.83
723	25.88	45	26.61
731	26.18	46	26.75
766	27.43	45	27.04
1068	38.18	43	29.47
738	26.41	44	26.83
733	26.26	43	26.67
718	25.69	43	26.51
722	25.84	44	26.54
723	25.88	44	26.61
719	25.73	44	26.55
723	25.90	43	26.61
717	25.68	44	26.51
975	34.92	45	28.54
1017	36.42	43	28.91
721	25.87	44	26.35
726	25.94	44	26.76
738	26.41	44	26.75
724	26.01	43	26.18
707	25.95	44	26.28
718	25.58	45	26.73
727	26.02	45	26.63
740	26.50	46	26.87
717	25.66	46	26.51
731	26.17	46	26.80
723	25.88	45	26.62
722	25.84	45	26.62
718	25.69	46	26.56
739	26.45	45	26.80
724	25.90	46	26.71
728	26.06	45	26.67
721	25.81	45	26.64
725	25.93	46	26.62
723	25.88	46	26.70
725	25.97	46	26.65
720	25.78	46	26.62
745	26.66	46	26.91
721	25.80	46	26.57
722	25.84	45	26.63
720	25.79	45	26.58
724	25.92	45	26.67
718	25.72	46	26.54
718	25.72	46	26.64
802	28.72	46	27.31
728	26.05	45	26.82
721	25.83	45	26.58
732	26.21	46	26.80
723	25.90	45	26.60
722	25.85	45	26.68
720	25.78	46	26.61
715	25.60	46	26.59
733	26.25	46	26.73
729	26.09	46	26.73
723	25.89	46	26.62
726	25.98	46	26.74
721	25.81	46	26.63
720	25.79	46	26.65
725	25.97	47	26.66
784	28.08	46	27.16
719	25.75	46	26.58
726	25.98	46	26.73
725	25.95	46	26.68
726	25.98	46	26.76
728	26.05	45	26.68
728	26.07	45	26.71
729	26.11	46	26.78
727	26.04	46	26.74
725	25.94	47	26.75
723	25.89	46	26.73
736	26.35	46	26.87
732	26.22	47	26.85
729	26.09	47	26.72
727	26.04	46	26.85
723	25.88	46	26.70
758	27.13	45	27.13
723	25.89	45	26.64
737	26.38	46	26.94
725	25.96	45	26.71
724	25.93	45	26.73
724	25.91	46	26.68
722	25.85	45	26.69
731	26.18	45	26.77
731	26.16	45	26.86
725	25.95	45	26.67
732	26.20	46	26.75
724	25.92	46	26.64
717	25.68	47	26.52
724	25.91	46	26.65
731	26.18	46	26.69
719	25.74	45	26.61
722	25.86	46	26.63
721	25.81	46	26.64
727	26.02	46	26.66
726	25.98	45	26.74
724	25.90	45	26.65
734	26.26	46	26.70
728	26.06	46	26.74
733	26.25	47	26.74
723	25.88	46	26.71
720	25.78	46	26.64
726	25.99	46	26.73
735	26.32	46	26.74
725	25.96	47	26.76
730	26.13	47	26.67
733	26.23	46	26.82
721	25.81	46	26.59
736	26.35	46	26.90
728	26.06	45	26.72
723	25.90	46	26.65
738	26.44	45	26.79
729	26.11	46	26.76
743	26.62	46	26.95
729	26.11	46	26.79
733	26.23	46	26.74
731	26.16	47	26.74
724	25.92	46	26.72
720	25.79	46	26.60
730	26.13	46	26.84
728	26.06	45	26.70
722	25.86	46	26.66
725	25.97	46	26.69
729	26.09	46	26.77
727	26.01	46	26.73
730	26.13	46	26.82
725	25.95	46	26.67
737	26.40	46	26.82
724	25.91	46	26.73
724	25.93	46	26.64
725	25.92	46	26.78
727	25.98	46	26.84
736	26.42	46	26.75
720	25.77	45	26.61
723	25.89	46	26.73
722	25.85	45	26.62
723	25.88	46	26.71
727	26.01	46	26.74
741	26.54	46	26.90
725	25.97	46	26.68
722	25.84	46	26.74
725	25.94	46	26.67
735	26.31	46	26.88
745	26.68	45	26.93
722	25.86	46	26.71
733	26.23	46	26.83
725	25.94	46	26.71
725	25.95	47	26.79
723	25.87	45	26.69
741	26.52	47	26.95
728	26.04	46	26.75
738	26.43	46	26.85
725	25.97	45	26.83
723	25.90	46	26.75
731	26.15	45	26.84
736	26.37	46	26.81
726	26.00	46	26.78
738	26.41	46	26.88
721	25.82	46	26.73
1039	37.19	46	29.13
742	26.58	46	26.91
722	25.86	46	26.65
725	25.97	46	26.79
723	25.89	46	26.71
727	26.01	46	26.79
726	26.00	46	26.74
724	25.90	47	26.77
733	26.26	46	26.86
733	26.24	46	26.92
727	26.03	47	26.76
741	26.51	46	26.85
1058	37.86	46	29.58
735	26.31	46	26.85
742	26.57	46	26.98
722	25.85	47	26.72
734	26.27	47	26.88
